player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing
Devyn Losco,Hofstra,,0.235,0.258,0.322,0.58,48,115,15,27,5,1,1,10,1,3,29,2,0
Jenna Herron,SIU Edwardsville,,0.235,0.283,0.294,0.577,51,119,14,28,4,0,1,8,0,8,29,5,0
Bailey Greenlee,Alabama State,,0.235,0.279,0.316,0.595,47,98,15,23,4,2,0,11,3,3,12,2,2
Addison Masching,Illinois State,,0.234,0.306,0.336,0.642,39,107,14,25,7,2,0,0,1,11,0,0,0
Taylor Smrt,Memphis,,0.234,0.315,0.315,0.63,47,111,12,26,3,0,2,23,1,13,33,0,0
Addie Welsh,Bradley,,0.234,0.296,0.372,0.668,52,137,16,32,3,2,4,21,0,13,41,8,0
Payton Wade,College of Charleston,,0.234,0.333,0.336,0.669,50,137,5,32,9,1,1,13,10,11,40,0,0
Anna Aguon,Buffalo,,0.234,0.37,0.362,0.732,46,141,29,33,6,0,4,14,5,26,37,15,2
Teanna Lucio,Incarnate Word,,0.234,0.276,0.285,0.561,48,137,21,32,3,2,0,12,0,8,19,9,0
Carson Shaner,NC State,,0.234,0.287,0.568,0.855,46,111,17,26,4,0,11,22,2,7,47,0,0
Ariyana Miranda,Eastern Kentucky,,0.234,0.295,0.352,0.647,45,128,19,30,10,1,1,2,4,7,0,0,0
Kylee Harvey,Sacred Heart,,0.234,0.322,0.304,0.626,54,158,23,37,6,1,1,1,6,15,0,0,0
Presley Williamson,Chattanooga,,0.234,0.278,0.374,0.652,49,107,15,25,6,0,3,10,1,6,16,2,0
Gigi Araki,UC Riverside,,0.234,0.376,0.477,0.853,45,111,24,26,9,0,6,36,8,19,26,0,0
Mackenzie Meech,Michigan State,,0.234,0.283,0.351,0.634,49,111,11,26,10,0,1,12,0,8,13,2,1
Thais Uyema,Purdue Fort Wayne,,0.233,0.348,0.284,0.632,49,116,13,27,4,1,0,7,9,12,22,5,1
Cami Neal,Columbia,,0.233,0.288,0.274,0.562,30,73,4,17,3,0,0,7,2,4,9,0,0
Sophie Spellman,Cleveland State,,0.233,0.242,0.326,0.568,40,86,13,20,2,0,2,1,1,2,0,0,0
Kayla Dunn,Georgetown,,0.233,0.358,0.311,0.669,37,90,8,21,4,0,1,13,2,16,27,0,0
Jasmine Williams,Oregon,,0.233,0.273,0.367,0.64,40,90,18,21,4,1,2,16,0,6,6,5,2
Kiara Dillon,Purdue,,0.233,0.321,0.3,0.621,54,120,22,28,5,0,1,7,4,13,29,7,0
Maddi Long,Tennessee-Martin,,0.233,0.308,0.372,0.68,51,129,17,30,6,0,4,20,2,12,16,1,0
Jules Shields,Massachusetts,,0.233,0.311,0.291,0.602,39,103,6,24,4,1,0,3,0,13,0,0,0
Bailey McLaughlin,Santa Clara,,0.233,0.253,0.244,0.497,47,90,14,21,1,0,0,0,2,2,0,0,0
Haylie Brunson,Pittsburgh,,0.233,0.299,0.336,0.635,40,116,15,27,7,1,1,15,0,11,27,2,1
Kayla Lane,Pittsburgh,,0.233,0.319,0.369,0.688,41,103,16,24,2,0,4,8,5,8,33,4,2
Sara Kinch,Minnesota,,0.233,0.299,0.425,0.724,52,146,16,34,7,0,7,2,5,11,0,0,0
Abbi Perkins,Jacksonville State,,0.232,0.384,0.304,0.688,53,125,22,29,3,0,2,12,15,17,31,3,0
Emma Jones,Appalachian State,,0.232,0.409,0.451,0.86,55,164,48,38,6,3,8,28,10,40,38,10,0
Lindsay Edwards,Louisiana Tech,,0.232,0.32,0.405,0.725,59,168,32,39,5,0,8,36,6,17,28,1,0
Rory Dudley,Lehigh,,0.232,0.252,0.345,0.597,49,142,22,33,8,1,2,17,0,4,21,4,0
Claudia Kirchner,Saint Mary's,,0.232,0.264,0.268,0.532,38,82,3,19,3,0,0,6,3,1,16,2,0
Kai Barrett,Cal Poly,,0.232,0.279,0.313,0.592,44,112,9,26,3,0,2,1,1,7,0,0,0
Kenlie Harvey,Mercer,,0.232,0.369,0.326,0.695,56,138,15,32,2,1,3,17,6,24,37,5,0
Casey Turner,UMBC,,0.231,0.268,0.319,0.587,36,91,14,21,2,0,2,12,0,5,15,1,0
Chloe Stewart,UC Santa Barbara,,0.231,0.301,0.244,0.545,48,78,15,18,1,0,0,2,2,8,0,0,0
Kennedy Labshere,Boston College,,0.231,0.298,0.365,0.663,45,104,9,24,3,1,3,17,5,5,10,0,0
Kayla Haywood,Iona,,0.231,0.29,0.281,0.571,43,121,12,28,3,0,1,19,3,7,28,6,2
Kolby Holcombe,Samford,,0.231,0.268,0.354,0.622,53,147,7,34,6,0,4,17,1,7,26,0,0
Avalon Sanchez,Incarnate Word,,0.231,0.322,0.469,0.791,46,130,14,30,7,0,8,32,6,12,36,0,0
Olivia Sappington,Connecticut,,0.231,0.313,0.419,0.732,45,117,10,27,4,0,6,23,3,12,32,0,0
Jessie Shipley,UNC Greensboro,,0.231,0.325,0.433,0.758,52,134,25,31,6,0,7,23,1,19,27,1,0
Bailey Watkins,Presbyterian,,0.231,0.287,0.295,0.582,41,78,14,18,2,0,1,0,2,5,0,0,0
Bailey Sample,Bowling Green,,0.231,0.341,0.365,0.706,54,156,25,36,9,0,4,21,11,15,44,6,2
Haley Ellefson,Maryland,,0.231,0.294,0.38,0.674,47,108,14,25,7,0,3,18,3,7,24,9,0
Britaney Shaw,Houston,,0.231,0.303,0.444,0.747,47,108,11,25,2,0,7,18,2,9,24,0,0
Taylor Bump,Michigan,,0.231,0.371,0.434,0.805,53,143,14,33,9,1,6,28,2,30,30,0,0
Kat Clum,Brown,,0.231,0.254,0.291,0.545,41,117,13,27,7,0,0,11,1,3,23,1,1
Destinee Dixon,Alabama State,,0.23,0.341,0.336,0.677,47,113,14,26,4,1,2,27,9,11,11,6,1
Ryla Traylor,Tennessee State,,0.23,0.273,0.257,0.53,45,113,14,26,3,0,0,3,1,6,22,4,0
Brenna Davenport,UMass Lowell,,0.23,0.305,0.341,0.646,48,135,16,31,6,0,3,12,1,14,36,2,1
Cassie Henning,Georgetown,,0.23,0.3,0.29,0.59,43,100,11,23,3,0,1,6,3,7,29,1,0
Alexa Pagano,Campbell,,0.23,0.327,0.311,0.638,54,135,15,31,2,0,3,14,1,19,21,2,1
Leila Hennessy,Dartmouth,,0.23,0.252,0.319,0.571,44,135,12,31,6,0,2,14,0,4,19,4,0
Peyton Allen,Colorado State,,0.23,0.346,0.496,0.842,46,135,35,31,5,2,9,27,4,20,34,4,0
Haley Woolf,Evansville,,0.229,0.372,0.305,0.677,44,105,15,24,5,0,1,8,3,21,31,2,0
Bri Walker,Central Connecticut,,0.229,0.344,0.366,0.71,49,131,7,30,6,0,4,1,2,21,0,0,0
Grace Fleming,Illinois-Chicago,,0.229,0.239,0.321,0.56,45,140,19,32,7,0,2,14,0,2,26,1,0
Grace Banes,Iowa,,0.229,0.272,0.313,0.585,47,131,17,30,7,2,0,1,3,7,0,0,0
Sydney Ross,Omaha,,0.229,0.387,0.375,0.762,41,96,25,22,5,0,3,12,13,13,23,16,0
Jess Mazur,Georgia Southern,,0.229,0.325,0.496,0.821,46,131,20,30,1,2,10,31,6,13,28,0,0
Kat Montuya,UC Riverside,,0.229,0.365,0.339,0.704,45,109,26,25,6,0,2,19,7,18,36,6,3
Ashlyn Walker,North Texas,,0.229,0.333,0.323,0.656,43,96,10,22,6,0,1,5,4,11,11,2,0
Taylor Jackson,Murray State,,0.229,0.319,0.357,0.676,54,140,9,32,6,0,4,1,2,17,0,0,0
Tess Cites,Villanova,,0.228,0.379,0.337,0.716,51,92,11,21,4,0,2,10,3,20,29,8,1
Myah Murray,Florida Atlantic,,0.228,0.316,0.279,0.595,53,136,15,31,4,0,1,16,2,17,23,1,0
Reedy Davenport,Florida Gulf Coast,,0.228,0.283,0.386,0.669,48,127,16,29,8,0,4,17,1,9,11,1,1
Olivia Labbe,UMass Lowell,,0.228,0.367,0.39,0.757,48,136,32,31,8,1,4,18,8,22,32,9,1
Rylee Holtorf,Washington,,0.228,0.344,0.316,0.66,42,79,16,18,4,0,1,9,4,10,29,1,0
Taylor Ludwick,Colgate,,0.228,0.324,0.424,0.748,41,92,24,21,4,1,4,8,4,9,15,4,0
Regi Hecker,Valparaiso,,0.228,0.262,0.298,0.56,46,114,8,26,6,1,0,1,0,6,0,0,0
Nicolette Ramirez,Lamar,,0.228,0.335,0.346,0.681,49,136,21,31,5,1,3,12,8,14,24,0,0
Kasey Collins,Hofstra,,0.228,0.344,0.25,0.594,47,136,21,31,1,1,0,5,9,15,25,5,0
Isis Taylor,Jackson State,,0.227,0.277,0.32,0.597,48,128,11,29,8,2,0,17,2,8,23,3,0
Macy Omli,Kansas,,0.227,0.284,0.333,0.617,48,132,22,30,11,0,1,0,0,12,0,0,0
Kiara McCrea,Portland State,,0.227,0.395,0.307,0.702,38,88,12,20,4,0,1,18,0,25,27,4,3
Kyndal Kutac,Sam Houston,,0.227,0.373,0.336,0.709,47,128,27,29,5,0,3,17,10,21,16,4,1
Morgan Johnson,Norfolk State,,0.227,0.301,0.327,0.628,55,110,24,25,8,0,1,6,1,11,18,4,2
Olivia McFadden,Purdue,,0.227,0.283,0.294,0.577,55,163,15,37,6,1,1,18,8,6,32,0,0
Mikaela Gandia-Mak,Hawaii,,0.227,0.299,0.261,0.56,35,88,8,20,3,0,0,5,2,7,26,1,3
Willa Ferrer,Yale,,0.227,0.32,0.364,0.684,31,66,9,15,2,2,1,9,2,7,21,1,0
Maddy Dwyer,George Washington,,0.227,0.318,0.333,0.651,51,132,13,30,5,0,3,16,2,16,16,3,1
Rebecca Johnson,Colgate,,0.227,0.247,0.227,0.474,42,75,8,17,0,0,0,1,0,2,12,3,0
Ashlynn Gunter,Georgia Southern,,0.227,0.324,0.289,0.613,42,97,7,22,1,1,1,7,2,12,17,2,0
Aliya Catanzarita,Hofstra,,0.227,0.309,0.299,0.608,41,97,9,22,4,0,1,7,0,12,19,0,0
Kayla Skapyak,Valparaiso,,0.227,0.235,0.227,0.462,40,75,8,17,0,0,0,0,0,2,0,0,0
Meggie Otte,Ohio State,,0.227,0.283,0.403,0.686,53,154,20,35,8,2,5,0,4,8,0,0,0
Lindsey Warick,Indiana,,0.227,0.339,0.381,0.72,46,97,8,22,3,0,4,1,11,7,0,0,0
Abby Doerr,Alabama,,0.227,0.3,0.278,0.578,43,97,5,22,2,0,1,17,0,11,19,2,0
Sandrea Hord,Delaware State,,0.226,0.356,0.286,0.642,34,84,9,19,3,1,0,4,11,6,11,4,0
Ally Jones,Villanova,,0.226,0.281,0.458,0.739,54,155,18,35,9,0,9,28,1,11,24,1,0
Shelby Penning,Tennessee Tech,,0.226,0.273,0.47,0.743,50,115,20,26,2,1,8,1,1,8,0,0,0
Sheridan Fisher,Sam Houston,,0.226,0.335,0.27,0.605,52,159,23,36,7,0,0,13,15,13,7,2,1
Dream Weaver,Southern Utah,,0.226,0.33,0.258,0.588,41,93,10,21,3,0,0,6,2,13,20,0,0
Randi Farricker,NC State,,0.226,0.4,0.487,0.887,48,115,24,26,6,0,8,22,7,27,45,5,1
Natalie Henry,Western Carolina,,0.226,0.369,0.391,0.76,45,115,21,26,4,0,5,13,12,14,34,4,0
Alyssa Henault,Campbell,,0.226,0.279,0.299,0.578,50,137,15,31,8,1,0,19,3,7,19,2,1
Alexa DeMarse,UC San Diego,,0.226,0.287,0.264,0.551,43,106,8,24,4,0,0,8,2,7,32,0,0
Audry Fleming,Lamar,,0.226,0.276,0.391,0.667,48,133,25,30,3,2,5,26,1,9,35,1,0
Madison McKevitt,Hofstra,,0.226,0.354,0.358,0.712,42,106,11,24,8,0,2,20,7,14,37,0,0
Peyton Slater,Morehead State,,0.225,0.311,0.333,0.644,44,120,11,27,7,0,2,12,6,9,15,1,0
Samantha Diaz,UNLV,,0.225,0.294,0.413,0.707,58,160,26,36,8,2,6,23,3,13,39,0,0
Lexi Eckman,Toledo,,0.225,0.313,0.225,0.538,41,71,17,16,0,0,0,0,3,6,13,5,2
Hannah Poole,Radford,,0.225,0.277,0.411,0.688,47,129,17,29,9,0,5,0,1,9,0,0,0
Kayla Tauber,Saint Joseph's,,0.225,0.349,0.275,0.624,46,142,30,32,3,2,0,9,1,26,32,7,2
Jackie McKenna,Mississippi State,,0.225,0.298,0.404,0.702,63,151,21,34,6,0,7,28,3,13,23,0,0
Anna Knox,UNC Wilmington,,0.225,0.338,0.405,0.743,47,111,29,25,5,0,5,2,11,10,0,0,0
Alissa Castaneda,Southern,,0.225,0.313,0.31,0.623,48,129,17,29,5,0,2,15,6,11,17,3,2
Sydney Wesley,Mississippi Valley State,,0.225,0.303,0.288,0.591,32,80,7,18,2,0,1,8,0,9,8,3,1
Sydney Strelow,Minnesota,,0.225,0.364,0.435,0.799,54,138,23,31,6,1,7,1,7,25,0,0,0
Lexi Carver,Bowling Green,,0.225,0.376,0.333,0.709,50,120,18,27,7,0,2,13,5,24,29,1,0
Clarissa Reynoso,UC San Diego,,0.225,0.37,0.326,0.696,55,138,6,31,8,0,2,32,8,25,28,1,0
Sam Ward,Hofstra,,0.225,0.295,0.333,0.628,48,138,14,31,9,0,2,20,2,13,34,0,0
Diamond Porter,North Carolina Central,,0.225,0.338,0.369,0.707,44,111,18,25,5,1,3,11,6,13,24,9,0
Samantha Gwiazda,Nicholls State,,0.224,0.272,0.32,0.592,49,125,21,28,4,1,2,16,2,7,21,8,2
Jordyn Swinehart,Western Michigan,,0.224,0.279,0.276,0.555,54,152,22,34,3,1,1,15,3,9,13,3,0
Danielle Lew,Nevada,,0.224,0.32,0.336,0.656,51,134,15,30,9,0,2,12,2,17,37,1,0
Meg Gorman,Central Connecticut,,0.224,0.281,0.303,0.584,49,152,15,34,8,2,0,1,2,11,0,0,0
Olivia Pastin,Northern Kentucky,,0.224,0.297,0.352,0.649,49,125,13,28,7,0,3,12,2,11,26,2,2
Dallas Millwood,Hawaii,,0.224,0.308,0.402,0.71,40,107,9,24,4,0,5,18,3,10,34,0,0
Rylen Wiggins,Texas A&M,,0.224,0.377,0.5,0.877,59,152,38,34,9,0,11,37,2,36,30,12,1
Alexis Genovese,Coppin State,,0.224,0.268,0.329,0.597,46,143,22,32,7,1,2,10,3,6,17,4,3
Randi McKay,Green Bay,,0.224,0.3,0.301,0.601,49,143,21,32,6,1,1,17,4,12,36,11,2
Gabby Benson,Georgia State,,0.224,0.275,0.304,0.579,53,125,13,28,4,0,2,0,1,9,0,0,0
Liana Jones,Penn State,,0.224,0.311,0.374,0.685,50,107,18,24,7,0,3,15,5,9,30,6,0
Hope Lusk,Stephen F. Austin,,0.224,0.288,0.269,0.557,52,134,15,30,6,0,0,2,1,15,0,0,0
Addi Weaver,Valparaiso,,0.224,0.305,0.302,0.607,47,116,5,26,7,1,0,1,0,14,0,0,0
Cassie Swenson,Rhode Island,,0.224,0.281,0.254,0.535,46,134,11,30,4,0,0,12,0,11,17,2,0
Kiley Naomi,Oklahoma State,,0.224,0.333,0.376,0.709,59,165,37,37,5,1,6,21,4,24,27,13,2
Chloe Cruz,Kent State,,0.223,0.33,0.426,0.756,39,94,11,21,3,2,4,18,1,14,26,1,1
Hannah Scheaffer,Sam Houston,,0.223,0.277,0.254,0.531,51,130,12,29,4,0,0,10,5,5,20,0,1
Audrey Lyle,Belmont,,0.223,0.302,0.372,0.674,50,121,14,27,6,0,4,1,1,14,0,0,0
Chloe Middlebrooks,Georgia State,,0.223,0.419,0.266,0.685,44,94,22,21,2,1,0,0,22,11,0,0,0
Hannah Kinkade,Lamar,,0.223,0.385,0.447,0.832,44,103,13,23,5,0,6,24,11,16,39,1,0
Oaklee Trapp,Dixie State,,0.222,0.343,0.342,0.685,47,117,16,26,8,0,2,21,3,19,33,0,1
Darien McDonough,Boston College,,0.222,0.274,0.352,0.626,44,108,13,24,2,0,4,16,0,8,35,1,0
Emily Lippe,Kent State,,0.222,0.333,0.528,0.861,44,108,9,24,6,0,9,27,3,15,31,0,0
Kami Eppley,Stetson,,0.222,0.274,0.242,0.516,51,99,16,22,2,0,0,3,2,5,21,9,1
Jenna Blevins,Seton Hall,,0.222,0.291,0.286,0.577,43,126,7,28,2,0,2,27,1,12,26,0,0
Tatum Biddle,Northern Kentucky,,0.222,0.291,0.361,0.652,52,144,15,32,6,4,2,15,3,11,54,2,0
Rose Gonzales,Abilene Christian,,0.222,0.33,0.321,0.651,40,81,9,18,2,0,2,10,0,13,27,4,0
Alexis Lemus,Cal State Northridge,,0.222,0.331,0.333,0.664,51,153,24,34,9,1,2,21,11,14,23,0,0
Trinity Schlotterbeck,Maryland,,0.222,0.3,0.367,0.667,42,90,9,20,7,0,2,8,5,5,20,2,0
Courtney Ball,Georgia Southern,,0.222,0.267,0.42,0.687,39,81,15,18,3,2,3,14,1,4,19,6,0
Nova Sinskul,Loyola-Chicago,,0.222,0.304,0.265,0.569,45,117,17,26,0,1,1,1,5,10,0,0,0
Taylor Pack,Ohio State,,0.222,0.313,0.378,0.691,43,90,11,20,3,1,3,0,2,13,0,0,0
Remington Ross,Ball State,,0.222,0.28,0.253,0.533,44,99,18,22,1,1,0,1,0,8,32,22,1
Sydney Dennis,Southeast Missouri State,,0.221,0.252,0.239,0.491,50,113,12,25,2,0,0,2,0,5,0,0,0
Georgia Rea,Western Illinois,,0.221,0.319,0.413,0.732,41,104,12,23,5,0,5,1,0,15,0,0,0
Kendall Fields,Eastern Illinois,,0.221,0.29,0.328,0.618,54,131,13,29,5,0,3,2,1,15,0,0,0
Brooke McCann,Florida International,,0.221,0.316,0.256,0.572,42,86,13,19,1,1,0,4,0,12,12,1,0
Kaitlyn Tucker,Winthrop,,0.221,0.35,0.366,0.716,53,131,12,29,10,0,3,24,5,21,40,2,1
Maddie Boldt,Incarnate Word,,0.221,0.291,0.529,0.82,49,136,24,30,8,2,10,23,2,12,40,2,4
Kennedi Sorensen,Cal State Northridge,,0.221,0.344,0.37,0.714,54,154,11,34,6,1,5,28,9,20,31,1,0
Amy Smith,Massachusetts,,0.221,0.344,0.26,0.604,47,131,14,29,2,0,1,1,2,25,0,0,0
Sydney Steele,Stanford,,0.221,0.288,0.336,0.624,60,140,23,31,7,0,3,21,2,11,20,5,1
Lauren Brock,UAB,,0.22,0.315,0.239,0.554,44,109,16,24,2,0,0,12,0,15,13,5,2
Julia Mazanec,Kent State,,0.22,0.316,0.28,0.596,40,82,12,18,2,0,1,9,0,12,12,3,1
Jasmine Brown,Tennessee State,,0.22,0.262,0.245,0.507,53,159,18,35,2,1,0,6,1,8,23,12,8
Jana Sanden,Connecticut,,0.22,0.281,0.373,0.654,56,177,21,39,12,0,5,37,3,12,46,2,0
Kendra Allen,Massachusetts,,0.22,0.396,0.283,0.679,51,127,15,28,1,2,1,1,4,33,0,0,0
Mia Misasi,Nevada,,0.22,0.29,0.264,0.554,44,91,23,20,4,0,0,5,3,6,22,2,0
Michelle Leone,Penn State,,0.22,0.295,0.255,0.55,54,141,10,31,2,0,1,16,0,15,18,0,0
Jordyn Kadlub,South Florida,,0.219,0.315,0.289,0.604,52,114,19,25,5,0,1,11,3,13,24,13,1
Kate Wolf,Wagner,,0.219,0.304,0.356,0.66,48,146,15,32,8,0,4,20,4,15,11,0,0
Angelina Stile,Siena,,0.219,0.281,0.307,0.588,44,114,18,25,7,0,1,15,3,8,21,2,0
Taryn Jenkins,Purdue Fort Wayne,,0.219,0.346,0.352,0.698,46,105,11,23,5,0,3,9,1,20,32,9,2
Lizzie Shubert,Stetson,,0.219,0.271,0.469,0.74,56,160,18,35,7,3,9,33,3,10,38,0,0
Julia Thuer,Monmouth,,0.219,0.348,0.305,0.653,49,128,11,28,8,0,1,12,2,24,34,1,0
Alaina Smith,NC State,,0.219,0.3,0.419,0.719,51,105,19,23,6,0,5,12,0,13,32,4,1
Hayley Bejarano,North Florida,,0.219,0.301,0.297,0.598,53,128,15,28,5,1,1,16,4,11,10,1,0
Mone Davis,Hampton,,0.219,0.298,0.272,0.57,49,151,24,33,6,1,0,16,2,15,31,8,0
Jazmyn Rollin,Arizona State,,0.219,0.384,0.596,0.98,47,114,28,25,4,0,13,1,14,17,0,0,0
Jayden Standish,Illinois State,,0.218,0.317,0.364,0.681,44,110,16,24,4,0,4,2,1,15,0,0,0
Kaity McInall,Niagara,,0.218,0.271,0.245,0.516,38,110,8,24,3,0,0,1,1,7,0,0,0
Molly Bruyns,Central Connecticut,,0.218,0.273,0.277,0.55,39,101,15,22,4,1,0,1,0,8,0,0,0
Riley Sheehy,Iowa,,0.218,0.316,0.269,0.585,40,78,13,17,1,0,1,1,2,12,0,0,0
Alexis Matheney,Buffalo,,0.218,0.365,0.25,0.615,45,124,20,27,2,1,0,11,5,25,30,5,0
Anayah Baker-Rowell,Tennessee State,,0.218,0.266,0.34,0.606,53,147,14,32,10,1,2,11,2,8,25,3,0
Kaya Ciccone-Cozart,Lafayette,,0.218,0.311,0.328,0.639,43,119,9,26,4,0,3,16,2,14,38,0,0
Makenna Calderon,Southern Utah,,0.218,0.269,0.307,0.576,42,101,9,22,4,1,1,7,4,3,32,7,1
Taylor Johnson,NC State,,0.218,0.333,0.462,0.795,52,119,25,26,2,0,9,23,6,16,46,1,2
Samantha Reele,Western Carolina,,0.218,0.279,0.355,0.634,47,124,14,27,8,0,3,11,3,8,24,4,0
Kari Jacobson,Holy Cross,,0.218,0.255,0.228,0.483,50,101,12,22,1,0,0,1,0,5,28,3,1
Brooke Davis,Lamar,,0.218,0.273,0.252,0.525,45,119,12,26,4,0,0,7,1,8,13,5,1
Hailee Jantorno,Marist,,0.218,0.34,0.23,0.57,46,87,12,19,1,0,0,3,0,16,17,8,0
Desiree Bumpers,Arkansas-Pine Bluff,,0.217,0.255,0.272,0.527,41,92,12,20,3,1,0,5,0,5,23,0,0
Sophia Pappas,Binghamton,,0.217,0.26,0.383,0.643,43,115,8,25,8,1,3,16,5,3,25,1,0
Gracyn Houmis,Towson,,0.217,0.263,0.283,0.546,42,106,10,23,0,2,1,7,1,6,19,2,0
Gaby Ruiz,Florida International,,0.217,0.284,0.248,0.532,50,129,9,28,4,0,0,8,1,11,28,4,0
Mikayla Duke,Tennessee State,,0.217,0.265,0.228,0.493,43,92,8,20,1,0,0,3,2,4,19,7,1
Demi Slater,Mississippi Valley State,,0.217,0.299,0.333,0.632,28,60,6,13,2,1,1,6,0,7,21,3,0
Teagan ORilley,Butler,,0.217,0.427,0.391,0.818,39,69,5,15,3,0,3,16,4,22,14,0,0
Brooke Snider,Northern Iowa,,0.216,0.303,0.402,0.705,44,102,14,22,4,0,5,22,1,13,29,5,1
Natalie Sullivan,Saint Louis,,0.216,0.352,0.336,0.688,51,116,22,25,7,2,1,10,2,23,37,5,0
Mariah Godde,Mount St. Marys,,0.216,0.287,0.371,0.658,42,97,15,21,7,1,2,10,0,10,20,7,3
Kaylin Flukey,Iona,,0.216,0.296,0.433,0.729,38,97,11,21,3,0,6,13,1,10,22,0,0
Emma Raabe,Missouri,,0.216,0.364,0.351,0.715,53,97,8,21,4,0,3,9,1,22,27,0,0
Makall Whetten,Southern Utah,,0.216,0.392,0.33,0.722,43,97,17,21,8,0,1,6,13,15,37,3,0
Jadelyn Allchin,Washington,,0.216,0.281,0.489,0.77,50,88,21,19,1,1,7,18,2,6,25,2,0
JaNaiya Thomas,Houston,,0.216,0.296,0.284,0.58,44,88,18,19,3,0,1,11,2,8,21,13,4
Angelina Ioppolo,Hofstra,,0.216,0.299,0.295,0.594,48,139,17,30,6,1,1,19,6,11,29,0,0
Ryan Milkowski,Valparaiso,,0.216,0.302,0.369,0.671,45,111,11,24,6,1,3,1,5,9,0,0,0
Kacey Hvitved,Fresno State,,0.215,0.329,0.355,0.684,50,121,16,26,6,1,3,14,1,20,29,7,1
Shea Garcia,Portland State,,0.215,0.406,0.266,0.672,38,79,7,17,4,0,0,11,2,24,18,0,0
Ella LeMonier,Northern Kentucky,,0.215,0.269,0.233,0.502,56,172,25,37,1,1,0,5,1,12,18,17,3
Korie Thomas,UC Santa Barbara,,0.215,0.276,0.231,0.507,53,121,14,26,0,1,0,2,5,6,0,0,0
Neely Peterson,Florida Gulf Coast,,0.215,0.257,0.346,0.603,45,107,9,23,5,0,3,12,0,6,31,2,0
Daisha Simon,South Carolina State,,0.215,0.311,0.215,0.526,31,65,4,14,0,0,0,3,2,7,11,4,1
Samantha Reynoso,Eastern Kentucky,,0.215,0.256,0.364,0.62,44,107,12,23,4,0,4,0,2,5,0,0,0
Mikayla Allee,Ole Miss,,0.215,0.394,0.446,0.84,55,130,36,28,6,3,6,27,18,21,22,3,1
Kayla Jensen,Quinnipiac,,0.215,0.253,0.269,0.522,34,93,7,20,5,0,0,11,0,5,15,5,2
Alise Hale,Purdue Fort Wayne,,0.214,0.348,0.375,0.723,46,112,24,24,7,1,3,8,6,17,33,6,4
Kiley ORourke,Monmouth,,0.214,0.275,0.226,0.501,42,84,9,18,1,0,0,4,5,2,11,4,1
Katie Sciglimpaglia,Saint Peter's,,0.214,0.267,0.302,0.569,55,159,26,34,3,1,3,15,2,10,10,5,1
MaKenzie Hilling,Bucknell,,0.214,0.288,0.295,0.583,41,112,8,24,6,0,1,10,0,12,16,1,0
Ava Aguilar,Bucknell,,0.214,0.275,0.274,0.549,39,84,10,18,3,1,0,2,1,6,16,1,0
Jeanay Riley,Eastern Kentucky,,0.214,0.343,0.33,0.673,45,112,21,24,7,0,2,0,4,20,0,0,0
Sarah Nakahara,UC Davis,,0.214,0.29,0.248,0.538,52,117,8,25,4,0,0,7,1,12,31,11,3
Courtney James,Northern Illinois,,0.214,0.313,0.314,0.627,35,70,9,15,5,1,0,15,1,10,16,6,4
Lauren Little,Army,,0.214,0.279,0.232,0.511,44,112,9,24,2,0,0,9,1,9,16,11,2
Madi Gilmore,Army,,0.214,0.265,0.317,0.582,46,126,11,27,4,0,3,18,0,9,25,4,0
Shelby Barfield,Georgia Southern,,0.214,0.287,0.238,0.525,37,84,10,18,2,0,0,6,1,8,15,3,0
Gabby Stagner,South Alabama,,0.214,0.274,0.429,0.703,37,98,11,21,3,0,6,1,1,7,0,0,0
Natalie Taylor,Southern Miss,,0.214,0.296,0.27,0.566,51,126,14,27,2,1,1,11,1,14,22,2,0
Lilly Crowe,UAB,,0.213,0.273,0.386,0.659,49,127,16,27,6,2,4,22,1,10,16,2,1
Lauren Nunez,Providence,,0.213,0.331,0.287,0.618,45,108,14,23,3,1,1,16,4,15,23,1,0
Abbey Goodrum,Gardner-Webb,,0.213,0.292,0.301,0.593,44,136,22,29,12,0,0,13,3,13,47,9,3
Arizona Ritchie,Virginia,,0.213,0.3,0.238,0.538,52,122,18,26,3,0,0,0,3,13,0,0,0
Kamrie Rich,Lipscomb,,0.213,0.307,0.385,0.692,44,122,11,26,3,0,6,28,1,16,12,0,1
Erica Brasher,Lafayette,,0.213,0.276,0.225,0.501,39,80,11,17,1,0,0,6,1,6,35,7,2
Julia Roman,Lafayette,,0.213,0.256,0.27,0.526,43,122,9,26,7,0,0,15,2,5,17,2,2
Emily Blum,Delaware,,0.213,0.302,0.277,0.579,37,94,9,20,4,1,0,12,3,9,9,0,0
Chandley Garner,East Carolina,,0.213,0.3,0.36,0.66,51,150,26,32,5,1,5,21,4,15,47,8,3
Sydney Peterson,LSU,,0.213,0.394,0.307,0.701,54,75,15,16,4,0,1,0,8,17,0,0,0
Chloe Hatzopoulos,Elon,,0.213,0.308,0.351,0.659,43,94,17,20,1,0,4,11,4,9,27,2,0
Ah-Nayia Oglesby,UMES,,0.213,0.279,0.339,0.618,49,127,24,27,3,2,3,18,1,11,30,19,1
Lexi Wagner,Charlotte,,0.212,0.272,0.365,0.637,58,104,25,22,11,1,1,10,0,9,34,4,0
